candidate_id,failed_projects_count
1824,25
7650,23
7710,23
3731,21
8904,20
12207,20
1917,20
488,18
669,18
17733,2
2233,17
1607,17
2683,17
4242,17
19671,0
4854,16
427,0
647,0
7642,15
18792,0
3336,15
5022,14
4548,14
7655,14
3524,14
1053,14
2188,14
682,14
2048,14
10272,14
2766,14
8286,14
3400,13
12716,13
8742,13
6715,13
8519,13
11455,13
8685,13
249,13
4382,13
441,12
4873,12
2605,12
7614,0
4284,12
3716,12
4205,12
7601,12
882,7
873,12
18564,12
7992,12
2290,12
12620,12
3909,12
3171,12
20438,0
10500,11
1696,11
1538,11
6714,11
4640,11
1956,0
4816,11
19592,0
3552,11
19604,5
1130,0
8211,10
2899,5
1799,10
11811,0
3572,6
7622,10
11693,10
11688,10
7624,10
4493,10
10384,0
3150,0
204,0
3371,10
10374,3
10376,10
3296,10
2728,10
3179,0
8022,10
1536,10
7387,10
8597,10
14657,10
17338,10
8602,0
17560,0
17617,0
13260,0
2813,0
8943,10
4201,0
8500,10
9206,0
6469,0
1233,10
18161,0
2331,10
6725,10
20985,0
3834,10
6768,10
9370,10
18675,0
20280,0
1496,9
2916,9
10393,9
14639,0
8106,9
1589,9
4286,9
17776,3
17962,0
4045,9
514,9
2220,0
1446,8
6077,0
3959,0
3894,8
6903,8
1517,8
7385,8
3792,0
3790,8
3718,8
3338,2
7682,8
7696,1
21371,0
2859,8
12001,8
20009,0
12337,8
11216,8
11421,8
19762,8
17984,0
12708,0
194,8
19589,0
1007,8
11739,8
19566,0
19508,0
19347,0
12079,8
292,8
19271,0
19171,0
18072,0
12234,8
17637,8
11039,8
20026,8
20208,5
20723,0
13328,3
10031,8
17611,0
12760,0
10124,8
17495,8
14628,8
20037,0
1133,8
10874,8
10894,8
13355,8
17538,8
13397,8
18016,0
18043,0
4397,7
3937,3
4019,0
4168,7
4049,7
4082,0
17513,0
17516,0
4226,0
17663,0
18160,0
8757,7
18162,0
18402,0
21016,0
2876,1
20884,0
2901,0
2936,0
20634,0
3054,0
20569,0
20028,0
3204,7
3249,7
3256,7
19839,2
19821,0
19741,0
3375,7
3611,7
3650,0
13405,0
3740,7
18717,0
18507,0
3851,7
4483,0
4952,0
4530,7
4657,0
11844,7
7607,0
11788,0
7629,7
11595,7
11540,7
11500,7
7663,7
11009,0
7741,0
7763,7
7765,7
10936,0
7811,7
7939,7
10934,0
10817,7
10481,7
10174,7
10171,7
8467,7
10005,7
9360,7
9247,7
9231,7
9207,0
8768,0
11944,0
12025,0
7383,7
6663,7
4749,7
12730,7
4935,7
2849,0
4983,7
4995,7
5019,7
5810,7
12670,7
6518,6
6677,7
7358,0
6697,7
6708,7
12594,0
12413,0
12400,0
6726,0
6740,7
12193,3
6810,7
12093,7
6999,7
7161,7
8761,7
7371,7
2123,7
332,0
1984,0
411,7
1975,7
1144,7
552,7
1920,0
2324,7
2474,7
596,0
609,7
661,1
665,7
2585,0
2577,7
723,7
800,7
812,7
1881,7
1760,7
1724,7
903,7
2531,0
1698,7
1623,1
1099,7
2242,7
346,7
2177,0
2086,7
2099,0
2790,7
173,0
271,7
11,7
63,0
3628,6
10096,0
1775,6
7612,0
86,6
12438,6
19265,6
7382,6
112,6
2549,6
4005,6
7356,6
12741,6
20520,0
20570,0
1717,0
11616,6
3770,0
10938,0
7790,6
7781,6
4737,6
20626,0
10852,0
2126,6
12974,6
10772,6
10753,6
11848,6
7672,6
4557,0
11932,6
20595,0
12939,6
3470,6
18930,5
4437,6
7352,6
17995,0
18140,6
3210,6
10260,6
532,6
18188,6
18234,0
19551,0
10375,6
3138,6
18855,6
5883,6
1332,6
251,6
1939,6
10185,6
10735,4
10688,6
10635,6
13130,6
3425,0
20199,0
13303,6
19807,6
19764,0
1200,6
4881,6
17725,0
8875,0
1341,0
8748,5
8872,0
8606,5
1513,0
8465,5
1882,5
8413,5
6728,5
4768,5
4802,5
4822,5
4834,0
4907,5
4920,5
5530,5
6706,5
6710,0
6730,0
8321,5
6747,5
1908,5
8947,5
7719,5
7734,5
7761,5
7775,0
8114,5
1275,0
10147,5
1234,5
18664,5
12996,5
13066,0
13091,5
17514,0
578,0
573,0
567,3
17820,5
17913,0
17935,0
18157,5
18305,0
18579,0
18928,0
10103,0
19449,5
19570,0
19591,5
19615,0
19733,0
19883,5
20196,0
20292,5
20608,3
21331,0
12976,5
783,5
12529,5
863,0
10460,0
10520,0
10550,5
10780,5
10944,0
1080,5
11049,5
11057,5
11078,5
11191,0
11443,5
1010,5
11548,0
11554,0
11570,5
11587,0
11630,5
11654,0
946,4
11870,0
11904,5
887,5
12023,0
12192,5
866,0
11623,5
2,0
2217,4
3432,0
2906,0
2141,5
2184,5
3589,4
2794,0
3447,5
2546,5
3588,5
2822,5
3119,0
3978,0
4086,0
4148,5
3890,0
3574,5
2642,0
3639,0
2854,5
8416,4
8511,0
11142,4
2986,4
487,0
304,4
12966,0
2395,4
2194,4
4363,0
10957,0
636,4
11113,0
1085,4
3005,4
1842,0
4106,4
7346,4
263,0
736,4
2571,4
16292,0
6739,4
12967,0
10703,4
18529,0
10417,0
2740,0
10396,4
13444,4
10630,4
3198,0
10646,4
10388,4
7764,4
10700,4
3958,4
7736,4
4107,4
4197,4
10729,0
3868,4
12990,4
1679,0
2763,4
1541,0
12621,0
3461,4
12645,0
1137,0
549,4
11756,0
2118,4
3292,4
11561,0
12214,0
1235,0
11212,4
8749,4
934,4
1262,4
11679,4
2070,0
71,4
870,4
3702,0
4914,4
11694,0
9199,0
2856,4
32,3
11751,0
1213,4
49,4
6625,0
4636,0
4065,0
4392,4
2949,4
4419,4
4421,4
8512,1
1942,0
17520,0
11935,0
19802,0
169,0
11872,0
8974,4
4478,4
12488,0
11400,0
163,4
6682,4
3660,2
17959,4
2256,0
17726,3
17723,0
10389,0
10337,3
9202,3
17687,0
14638,0
1230,3
17629,3
653,0
16036,0
3962,3
2681,3
17443,3
10146,3
17527,0
17828,0
12862,0
13375,0
12650,3
11251,3
11317,0
12576,3
11422,0
3757,3
2482,3
11551,0
11555,0
3725,0
12206,2
12201,0
11695,0
12036,3
11758,0
11774,0
923,0
3640,1
11970,3
11877,0
11878,0
11192,0
11121,0
10502,0
11081,0
705,3
10631,3
13158,3
13155,0
13070,0
10715,3
3866,3
12977,0
1126,0
1106,3
12909,3
12834,0
2574,0
12739,3
726,3
3826,0
1270,3
11881,0
1292,3
19086,0
20309,0
19234,3
7652,0
19191,0
7662,3
7664,0
19189,0
1687,3
7695,0
19126,0
19087,3
19078,0
20465,0
19037,0
20392,0
20403,0
1644,0
7747,0
7756,3
3133,0
18926,0
18917,0
3136,3
20440,0
20286,0
19314,0
4297,0
19919,0
2778,0
140,3
6703,3
2919,0
132,3
6514,0
19706,0
19685,0
6753,3
6757,3
189,2
6766,0
20146,0
19594,0
4372,3
5,0
19532,3
3023,3
7604,3
7605,0
19346,0
18770,3
4602,0
8475,0
3205,0
4934,0
20967,0
547,3
18029,0
4792,3
3219,2
8518,0
4550,2
3224,0
21012,0
20888,0
4674,3
1365,0
21034,0
8750,0
8752,0
4643,3
8758,0
8762,0
8482,0
18337,0
18221,3
375,3
18658,0
379,2
18464,0
18451,0
18390,1
18376,0
18354,0
20744,0
18336,0
1550,0
19967,3
4532,3
20675,0
2722,3
8276,3
20167,0
20559,0
21037,0
20524,0
20686,0
12395,0
136,0
841,0
860,2
12230,0
20059,0
20067,0
2788,2
2891,1
3042,0
19848,0
349,0
13505,2
14595,2
3370,0
14680,2
18172,0
625,0
17562,0
2699,0
3653,2
586,2
17827,0
2696,0
3387,2
13207,0
12450,0
2772,0
12577,2
12583,0
19753,2
19605,0
260,0
12842,2
12892,0
19268,0
3446,0
18973,0
18847,2
18817,0
4615,0
1022,0
2837,0
2244,0
10247,2
4400,2
4386,2
10104,0
1910,2
3985,0
10100,0
10098,2
2310,2
10038,0
9411,2
4076,0
1303,0
6723,2
4460,2
10359,0
2151,0
10583,0
6668,2
3901,0
10503,2
6675,2
10501,2
1973,0
4162,0
1150,2
10380,0
4357,0
4488,0
4085,0
1716,0
4212,0
8144,2
7712,0
2236,2
1592,0
8009,2
1594,2
7729,0
7924,2
4181,0
7766,0
4158,2
7786,0
7780,0
4103,2
1535,0
8468,0
1793,0
4087,0
1400,2
4328,2
1848,0
4092,0
1756,0
1719,2
11874,0
1526,0
7627,0
8495,2
8476,2
1987,0
2323,0
11183,0
2504,0
3838,0
11427,0
10974,0
4515,0
4807,0
2088,2
2481,2
2089,0
11171,0
11653,0
4540,2
2098,2
10943,0
4930,2
3781,0
11584,0
11259,2
11302,0
11367,0
11369,2
2090,0
11413,0
4539,0
5014,0
4707,0
4608,2
945,0
10884,2
10731,0
4610,0
11697,0
6070,2
10937,2
998,2
6093,2
10941,0
4720,2
10942,0
11685,2
60,0
2824,0
2210,0
4189,0
4275,1
7744,0
4780,0
4817,1
3087,0
7724,1
4814,0
7700,0
1660,0
131,0
3025,0
2024,0
2055,0
19787,0
1968,0
19838,0
2892,0
6674,1
2010,1
19945,1
6081,0
19970,0
19999,0
4484,0
6108,1
1962,0
1916,0
7542,1
252,0
2866,1
20566,0
4926,1
3022,0
1992,0
2183,0
1884,0
6765,1
2999,0
1898,1
2997,0
4956,0
2135,0
2761,0
3655,0
18730,0
13067,0
11022,1
12769,0
12835,0
3508,0
12961,0
10907,0
1128,0
10802,0
10777,1
10745,1
3871,0
671,0
13073,0
13077,1
13078,0
3443,0
13108,0
10668,0
2355,0
13258,0
10573,1
10504,0
699,0
2462,0
733,1
3532,0
11086,0
3646,0
910,0
11757,1
12092,0
12189,1
11684,1
11683,0
3712,0
2518,0
2501,0
843,0
12373,0
1013,0
11444,1
11417,0
12474,0
803,0
12646,0
672,0
13492,1
7782,0
18225,1
8547,1
8515,0
18114,0
8473,0
494,1
8209,0
18205,1
8195,1
8128,1
13500,1
3196,1
8102,1
1604,0
3183,0
7923,1
7896,1
1605,0
7805,0
7801,0
2747,0
17958,0
2700,1
17918,0
8754,0
1153,0
1170,1
14631,1
10309,0
1183,1
2312,0
1187,1
650,0
2840,0
1203,0
2662,1
619,0
1215,0
2289,1
3294,0
9201,0
9002,1
17728,0
