status,request_for_specialist_id,candidate_id,project_name
ASSIGNED,2381,260,inDriver
REJECT,4179,1200,inDriver
ASSIGNED,4179,11183,inDriver
REJECT,4180,4045,inDriver
REJECT,4180,3371,inDriver
PROPOSED,4180,20524,inDriver
ASSIGNED,4181,2837,inDriver
PROPOSED,4950,7712,inDriver
PRE_SELECTED,4951,4357,inDriver
PROPOSED,4952,20059,inDriver
PROPOSED,4953,8757,inDriver
PROPOSED,4956,13505,inDriver
PROPOSED,4958,19268,inDriver
PRE_SELECTED,4959,18172,inDriver
BOOKED,4964,11302,inDriver
BOOKED,4965,2699,inDriver
REJECT,2743,1607,Яндекс Медиалаб
REJECT,2743,4286,Яндекс Медиалаб
BOOKED,2743,647,Яндекс Медиалаб
PROPOSED,2743,19551,Яндекс Медиалаб
REJECT,3017,18140,Яндекс Медиалаб
REJECT,3017,18855,Яндекс Медиалаб
PROPOSED,3017,18930,Яндекс Медиалаб
REJECT,3018,2549,Яндекс Медиалаб
REJECT,3457,3138,Яндекс Медиалаб
REJECT,3457,7650,Яндекс Медиалаб
PROPOSED,3457,427,Яндекс Медиалаб
PROPOSED,3457,20520,Яндекс Медиалаб
REJECT,3460,5883,Яндекс Медиалаб
PROPOSED,3460,19671,Яндекс Медиалаб
REJECT,3461,7781,Яндекс Медиалаб
PROPOSED,3461,20199,Яндекс Медиалаб
REJECT,3462,13303,Яндекс Медиалаб
REJECT,3463,19807,Яндекс Медиалаб
PRE_SELECTED,4421,17733,Яндекс Медиалаб
PROPOSED,4426,3338,Яндекс Медиалаб
PROPOSED,4570,10852,Яндекс Медиалаб
ASSIGNED,1964,2696,Thryve (mHealth Pioneers GmbH)
ASSIGNED,2663,1848,Thryve (mHealth Pioneers GmbH)
REJECT,4793,1594,Thryve (mHealth Pioneers GmbH)
PROPOSED,4793,12977,Thryve (mHealth Pioneers GmbH)
PROPOSED,4793,14680,Thryve (mHealth Pioneers GmbH)
PRE_SELECTED,4793,12230,Thryve (mHealth Pioneers GmbH)
PRE_SELECTED,4793,1303,Thryve (mHealth Pioneers GmbH)
ASSIGNED,2842,2574,Сбербанк Казахстан
ASSIGNED,2843,3205,Сбербанк Казахстан
ASSIGNED,3915,2919,Сбербанк Казахстан
REJECT,4340,375,Сбербанк Казахстан
ASSIGNED,4340,11878,Сбербанк Казахстан
ASSIGNED,4341,4983,Сбербанк Казахстан
ASSIGNED,4342,13070,Сбербанк Казахстан
ASSIGNED,4343,11192,Сбербанк Казахстан
ASSIGNED,4344,1053,Сбербанк Казахстан
PROPOSED,5206,3588,Сбербанк Казахстан
PROPOSED,5206,1365,Сбербанк Казахстан
ASSIGNED,701,2518,IHS Kernel
ASSIGNED,702,1128,IHS Kernel
REJECT,992,8102,IHS Kernel
REJECT,992,8144,IHS Kernel
REJECT,992,494,IHS Kernel
REJECT,1000,8144,IHS Kernel
ASSIGNED,1000,8209,IHS Kernel
REJECT,2145,10745,IHS Kernel
REJECT,2150,10777,IHS Kernel
REJECT,2150,11022,IHS Kernel
REJECT,2151,11444,IHS Kernel
ASSIGNED,3054,11684,IHS Kernel
REJECT,2913,1917,X5 Retail Group Портал поставщика
REJECT,3161,6706,X5 Retail Group Портал поставщика
REJECT,3212,12976,X5 Retail Group Портал поставщика
REJECT,3212,13091,X5 Retail Group Портал поставщика
REJECT,3596,7642,X5 Retail Group Портал поставщика
BOOKED,3850,19615,X5 Retail Group Портал поставщика
REJECT,4226,18664,X5 Retail Group Портал поставщика
ASSIGNED,4227,1275,X5 Retail Group Портал поставщика
REJECT,4229,19883,X5 Retail Group Портал поставщика
PROPOSED,4230,11554,X5 Retail Group Портал поставщика
PROPOSED,4230,11587,X5 Retail Group Портал поставщика
REJECT,4249,18930,X5 Retail Group Портал поставщика
ONBOARDING,4580,18579,X5 Retail Group Портал поставщика
BOOKED,4581,578,X5 Retail Group Портал поставщика
ONBOARDING,4678,20608,X5 Retail Group Портал поставщика
PROPOSED,4679,12023,X5 Retail Group Портал поставщика
REJECT,4772,17820,X5 Retail Group Портал поставщика
PROPOSED,4772,21331,X5 Retail Group Портал поставщика
ONBOARDING,4857,18928,X5 Retail Group Портал поставщика
PROPOSED,4978,427,X5 Retail Group Портал поставщика
REJECT,603,2233,Альфа-банк
REJECT,605,6663,Альфа-банк
REJECT,606,6810,Альфа-банк
REJECT,613,5019,Альфа-банк
REJECT,613,7624,Альфа-банк
REJECT,614,6714,Альфа-банк
