"id","request_for_specialist_id","candidate_id","status","next_step_id","due_date","is_main","start_date","deadline_sla_date","result_date","result_comment","rate","is_active","is_staffing","staffing_file_id","is_favorite","interview_date","resume_request_id","assigned_date","status_reason_id","cancel_reject_initiator_id"
146,700,2740,ASSIGNED,,,1,"2022-04-08",,"2022-04-08 10:32:03",,,1,1,284,1,,,"2022-04-04 05:37:28",,
147,702,1128,ASSIGNED,,,1,"2022-04-22",,"2022-04-13 16:28:11",,,1,1,260,1,"2022-04-12",,"2022-04-04 05:38:16",,
148,704,8511,CANCEL,,,0,,,"2022-04-06 13:54:39","Pending по кандидату: Бруило хочет пройти сначала собес на РМ DE, в случае отказа там, согласен процесситься дальше на IHS.",,1,1,,0,,,"2022-04-04 05:39:26",12,
149,707,10117,TERMINATED,,,0,"2022-04-25",,"2022-04-14 18:18:25",Stop on project from: 2022-06-09,,1,1,,1,"2022-04-04",,"2022-04-04 05:40:10",,
150,708,7884,CANCEL,,,0,,"2022-04-11","2022-04-13 11:43:35","Деманд на это позицию инициирован лично ЛПР (Нико), который на данный момент сильно заболел, и никто не понимает когда он вернется. Без ЛПР рассматривать людей на эти позиции JTI не готов",,1,1,,1,,,"2022-04-04 05:40:57",12,
151,712,3175,CANCEL,,,0,,"2022-04-11","2022-04-07 07:59:20","Заказчик в конце концов отказался от позиции, мы с сейлзом думаем что причина в том что закрылись кандидатм из Европы инхауз
Из за низких рейтов кандидата с Европы мы предложить им не смогли",,1,1,,0,,,"2022-04-04 05:43:41",12,
152,719,903,REJECT,,,0,,,"2022-04-04 21:00:00","Не прошла тест
Нечего тут ещё писать на 35 символов",,1,1,130,0,"2022-04-01",,"2022-04-04 05:48:17",12,
153,720,747,CANCEL,,,0,,"2022-04-06","2022-04-07 16:44:13","Завалил собес. По .Net заказчик отметил, что реальный сеньор, однако были проблемы со знаниями по .Net core, слишком мало опыта",,1,1,131,0,"2022-04-04",,"2022-04-04 05:48:45",12,
154,721,286,CANCEL,,,0,,"2022-04-18","2022-04-06 09:13:28","Для мидла подошёл бы, но заказчик просит исключительно сеньора. Не потянет",,1,1,133,0,,,"2022-04-04 05:49:26",12,
155,709,7736,REJECT,,,0,,"2022-04-14","2022-04-13 21:00:00","Unfortunately, Sargis was not convincing. In terms of technical skills and communication, he does not fit. Didn't answer the questions asked. He also expressed a desire to work more with the backend. Unfortunately, this candidate is not suitable for us",,1,1,223,0,"2022-04-12",,"2022-04-04 05:50:53",12,
156,726,7736,CANCEL,,,0,,,"2022-04-14 12:40:30",Candidate Parunakyan Sargis cancelled because of start on demand 726,,1,1,,0,,,"2022-04-04 05:51:51",12,
157,728,7667,TERMINATED,,,0,"2022-04-12",,"2022-04-12 08:39:42",Stop on project from: 2022-07-15,,1,1,,1,,,"2022-04-04 05:52:24",,
158,729,7610,CANCEL,,,0,,"2022-04-11","2022-04-04 16:19:23",кандидата дважды проставили на один и тот же деманд,,1,1,,0,,,"2022-04-04 05:54:19",12,
159,736,514,CANCEL,,,0,,"2022-04-20","2022-04-07 09:59:18",Заказчик остановил подбор по данному направлению на неопределенный срок.,,1,1,,1,,,"2022-04-04 05:55:00",12,
160,1119,2534,CANCEL,,,0,,"2022-04-11","2022-04-07 10:31:06","Левчук остаётся работать на текущем проекте, до момента, пока ей не найдётся новый",,1,1,,1,,,"2022-04-04 06:35:35",12,
