project_name,status,technology
Booking Group Corporation,1,NET
IHS Kernel,1,NET
Space (Neobank),0,NET
Publicis Media DE,0,NET
Phenom People,0,UX_UI
Exness,0,PYTHON
Wayflyer Limited,1,PYTHON
PropertyGuru Group,0,PYTHON
Space (Neobank),1,NET
Team Force,0,JAVA
Backbase,1,QA_AUTOMATION_ENGINEER_JAVA
PropertyGuru Group,0,QA_AUTOMATION_ENGINEER_JAVA
Paysera,0,QA_MOBILE
Global Shares Ireland Limited,0,QA_ENGINEER
Global Shares Ireland Limited,0,QA_ENGINEER
Global Shares Ireland Limited,1,QA_ENGINEER
Global Shares Ireland Limited,0,QA_ENGINEER
Уральский банк реконструкции и развития,0,QA_ENGINEER
Уральский банк реконструкции и развития,0,QA_ENGINEER
Альфа-банк,0,QA_AUTOMATION_C_SHARP
Альфа-банк,0,QA_AUTOMATION_ENGINEER_JAVA
Альфа-банк,0,QA_AUTOMATION_ENGINEER_JAVA
Альфа-банк,0,QA_AUTOMATION_ENGINEER_JAVA
Альфа-банк,0,QA_AUTOMATION_ENGINEER_JAVA
Альфа-банк,0,QA_AUTOMATION_ENGINEER_JAVA
Allianz Technology - Canada,0,BUSINESS_ANALYST
Ингосстрах-Инвестиции,0,SYSTEM_ANALYST
Альфа-банк,0,SYSTEM_ANALYST
GMCS,0,SYSTEM_ANALYST
GMCS,0,SYSTEM_ANALYST
Siemens UK | Yunex Traffic,1,C_PLUSPLUS
Backbase,0,ANDROID
Backbase,0,ANDROID
Space (Neobank),0,ANDROID
Softeq Minsk,0,ANDROID
Ростелеком #2,0,ANDROID
Ингосстрах-Инвестиции,0,ANDROID
Альфа-банк,0,ANDROID
Альфа-банк,0,ANDROID
Альфа-банк,0,ANDROID
Тинькофф Банк,0,ANDROID
Тинькофф Банк,0,ANDROID
Backbase,1,IOS
Backbase,0,IOS
Space (Neobank),0,IOS
Ростелеком #2,0,IOS
Альфа-банк,0,IOS
Альфа-банк,0,IOS
Тинькофф Банк,0,IOS
Тинькофф Банк,0,IOS
Тинькофф Банк,0,IOS
M10 (PayPoint),0,FLUTTER
Backbase,0,JAVA
Backbase,0,JAVA
IHS,1,JAVA
Transporeon,1,JAVA
Сбер Риски Департамент интегрированного риск-менеджмента,0,JAVA
Ланит - Сбер,0,JAVA
Ланит - ВТБ,0,JAVA
МАГНИТ,0,JAVA
Альфа-банк,0,JAVA
Альфа-банк,0,JAVA
Банки.ру,0,JAVA
Тинькофф Банк,0,JAVA
Тинькофф Банк,0,JAVA
Тинькофф Банк,0,JAVA
Ланит - ВТБ,0,JAVA
Тинькофф Банк,0,SCALA
RCI Banque S.A. Niederlassung Deutschland,1,DEVOPS
M10 (PayPoint),1,DEVOPS
IHS,0,DEVOPS
IHS Kernel,0,DEVOPS
ethinking,1,DEVOPS
IHS Kernel,0,DEVOPS
Backbase,1,ANGULAR
Backbase,0,ANGULAR
Тинькофф Банк,0,ANGULAR
eurofunk,0,ANGULAR
NEXR Technologies SE,0,NODE_JS
Madkhol,1,NODE_JS
"Retrain.ai, inc",0,NODE_JS
Getsafe,1,REACT
Cian_2,0,REACT
Банки.ру,0,REACT
Тинькофф Банк,0,REACT
Yara International,1,REACT_NATIVE
Банки.ру,0,PHP
Kooba,0,PHP
Kooba,1,PHP
I22,1,RUBY
Eleving Group,1,RUBY
СберМаркет,0,RUBY
Quincus,0,RUBY
Ростелеком #2,0,GO
Yara International,1,SOFTWARE_ARCHITECT
Global Shares Ireland Limited,0,SOFTWARE_ARCHITECT
Wayflyer Limited,0,PYTHON
Wayflyer Limited,0,PYTHON
МАГНИТ,0,VUE_JS
Publicis Media DE,1,REACT
Paysera,0,REACT
Backbase,0,QA_AUTOMATION_ENGINEER_JAVA
Publicis Media DE,1,NET
Publicis Media DE,0,NET
Rush Street Interactive,1,ANDROID
IHS,1,ANGULAR
Eleving Group,0,RUBY
IHS,0,NET
IHS,1,DEVOPS
Allianz Partners (MultiLob),1,BUSINESS_ANALYST
Backbase,0,QA_AUTOMATION_ENGINEER_JAVA
Backbase,0,QA_AUTOMATION_ENGINEER_JAVA
BSS Group,0,QA_ENGINEER
Манго телеком,0,QA_ENGINEER
Манго телеком,0,QA_ENGINEER
Банки.ру,0,REACT
Ингосстрах-Инвестиции,0,SYSTEM_ANALYST
Transporeon,1,JAVA
Backbase,1,JAVA
Yara International,1,REACT_NATIVE
I22,1,REACT
IHS,0,NET
Allianz Partners (MultiLob),1,UX_UI
Философия ИТ,0,JAVA
Wondersign,0,NODE_JS
МАГНИТ,0,REACT
Global Shares Ireland Limited,0,QA_ENGINEER
Backbase,1,ANGULAR
Тинькофф Банк,0,ANDROID
GMCS,0,SYSTEM_ANALYST
I22,0,PHP
IHS Kernel,1,DEVOPS
IHS Kernel,0,DEVOPS
ANIXE,0,UX_UI
Backbase,0,QA_AUTOMATION_ENGINEER_JAVA
RCI Banque S.A. Niederlassung Deutschland,0,DATA_ENGINEER_DBA
Atroo,0,REACT
Ланит - ВТБ,0,JAVA
Ростелеком #2,0,RUBY
Phenom People,0,UX_UI
eurofunk,1,QA_AUTOMATION_ENGINEER_JS
Datagile,0,REACT
Space (Neobank),0,IOS
Сбер Риски Департамент интегрированного риск-менеджмента,0,JAVA
Global Shares Ireland Limited,0,QA_ENGINEER
Ростелеком #2,0,IOS
Backbase,0,JAVA
Манго телеком,0,KOTLIN
Moovforge,0,REACT
Альфа-банк,0,QA_AUTOMATION_ENGINEER_JAVA
Альфа-банк,0,QA_AUTOMATION_ENGINEER_JAVA
Альфа-банк,0,QA_AUTOMATION_ENGINEER_JAVA
Альфа-банк,0,QA_ENGINEER
Wondersign,0,PYTHON
IHS,1,NET
Альфа-банк,0,ANDROID
Atroo,1,REACT
Atroo,1,REACT
Backbase,0,JAVA
BSS Group,0,JAVA
Quincus,0,GO
Альфа-банк,0,JAVA
Альфа-банк,0,JAVA
Тинькофф Банк,0,ANDROID
Exness,0,SYSTEM_ANALYST
IHS Kernel,0,DEVOPS
Банки.ру,0,PHP
Уральский банк реконструкции и развития,0,SYSTEM_ANALYST
BSS Group,0,JAVA
Ланит - Сбер,0,JAVA
Ланит - Сбер,0,JAVA
Ланит - ВТБ,0,JAVA
RCI Banque S.A. Niederlassung Deutschland,1,DEVOPS
Eleving Group,0,HTML
IHS,1,NET
IHS,0,NET
МТС Диджитал,0,NET
Альфа-банк,0,SYSTEM_ANALYST
Альфа-банк,0,SYSTEM_ANALYST
Альфа-банк,0,SYSTEM_ANALYST
Альфа-банк,0,SYSTEM_ANALYST
Backbase,1,IOS
River Tech,0,JAVA
Альфа-банк,0,SYSTEM_ANALYST
Moovforge,0,REACT
Альфа-банк,0,DEVOPS
BSS Group,0,JAVA
Альфа-банк,0,QA_ENGINEER
МАГНИТ,0,QA_AUTOMATION
M10 (PayPoint),0,DEVOPS
Global Shares Ireland Limited,0,QA_AUTOMATION_ENGINEER_JAVA
Global Shares Ireland Limited,0,QA_AUTOMATION_ENGINEER_JAVA
Global Shares Ireland Limited,0,QA_AUTOMATION_ENGINEER_JAVA
Rush Street Interactive,0,UX_UI
Paysera,0,PHP
Философия ИТ,0,JAVA
Альфа-банк,0,JAVA
IHS Kernel,1,NET
Ингосстрах-Инвестиции,0,SYSTEM_ANALYST
Backbase,0,IOS
Datagile,0,REACT
M10 (PayPoint),1,DEVOPS
Самолёт Венчурс - Плафторма Самолёт+,0,DEVOPS
Ростелеком #2,0,SYSTEM_ANALYST
Backbase,1,ANDROID
Альфа-банк,0,ANDROID
Global Shares Ireland Limited,0,QA_ENGINEER
eurofunk,0,QA_ENGINEER
IHS,0,NET
Backbase,0,ANDROID
Independer,1,ANGULAR
Shieldpay,0,NODE_JS
Альфа-банк,0,IOS
M10 (PayPoint),0,QA_AUTOMATION_ENGINEER_JAVA
Альфа-банк,0,IOS
IHS,1,ANGULAR
Самолёт Венчурс - Плафторма Самолёт+,0,SOLUTIONS_ARCHITECT
Publicis Media DE,1,NET
JTI (Japan Tobacco International),1,GO
МТС Диджитал,0,ORACLE
Ингосстрах-Инвестиции,0,SYSTEM_ANALYST
Ингосстрах-Инвестиции,0,BUSINESS_ANALYST
Exinity,1,PHP
Exinity,1,PHP
Moonfare,0,REACT
Альфа-банк,0,QA_AUTOMATION_C_SHARP
msg Plaut Austria GmbH,1,JAVA
Backbase,0,JAVA
Wondersign,1,QA_AUTOMATION_ENGINEER_PYTHON
Global Shares Ireland Limited,0,SOFTWARE_ARCHITECT
Альфа-банк,0,IOS
Independer,1,ANGULAR
Альфа-банк,0,SYSTEM_ANALYST
Ингосстрах-Инвестиции,0,BUSINESS_ANALYST
Альфа-банк,0,JAVA
Comparis,1,REACT
IHS,0,NET
M10 (PayPoint),1,FLUTTER
Альфа-банк,0,JAVA
Booking Group Corporation,1,REACT
Global Shares Ireland Limited,0,QA_ENGINEER
BlueBridge Technologies,0,QA_ENGINEER
River Tech,1,JAVA
JTI (Japan Tobacco International),0,PHP
Самолёт Венчурс - Плафторма Самолёт+,0,NET
ANIXE,0,NET
Сбер РБ - Домклик,0,SYSTEM_ANALYST
Rush Street Interactive,1,ANDROID
Альфа-банк,0,IOS
Тинькофф Банк,0,IOS
Альфа-банк,0,QA_AUTOMATION_ENGINEER_JAVA
СберМаркет,0,RUBY
msg Plaut Austria GmbH,1,JAVA
Сбер Риски Департамент интегрированного риск-менеджмента,0,JAVA
Exinity,0,SYSTEM_ANALYST
Exinity,0,SYSTEM_ANALYST
Тинькофф Банк,0,JAVA
IHS,1,NET
Альфа-банк,0,ANDROID
Тинькофф Банк,0,IOS
Moonfare,1,NODE_JS
Moovforge,0,REACT
Тинькофф Банк,0,JAVA
Самолёт Венчурс - Плафторма Самолёт+,0,SYSTEM_ANALYST
Тинькофф Банк,0,BUSINESS_ANALYST
Тинькофф Банк,0,JAVA
Lexop,0,RUBY
Leonteq,1,SCALA
Team Force,0,QA_AUTOMATION_ENGINEER_JAVA
Allianz Partners,1,QA_AUTOMATION_ENGINEER_JAVA
Allianz Partners,0,QA_AUTOMATION_ENGINEER_JAVA
People Intelligence,0,PYTHON
Альфа-банк,0,IOS
IHS,0,NET
Rush Street Interactive,0,UX_UI
Банки.ру,0,PHP
Банки.ру,0,JAVA
Allianz Partners (MultiLob),1,BUSINESS_ANALYST
Allianz Partners,0,SYSTEM_ANALYST
Allianz Partners,1,SYSTEM_ANALYST
Allianz Partners,0,QA_AUTOMATION_ENGINEER_JAVA
Paysera,0,QA_AUTOMATION_ENGINEER_JAVA
Comparis,0,REACT
Философия ИТ,0,JAVA
Verses,1,REACT
Wondersign,0,NODE_JS
River Tech,0,JAVA
Альфа-банк,0,QA_ENGINEER
Альфа-банк,0,QA_ENGINEER
Global Shares Ireland Limited,0,QA_ENGINEER
Team Force,0,ANGULAR
Global Shares Ireland Limited,0,QA_ENGINEER
Global Shares Ireland Limited,0,QA_ENGINEER
Global Shares Ireland Limited,0,QA_AUTOMATION_ENGINEER_JAVA
Global Shares Ireland Limited,0,QA_ENGINEER
BlueBridge Technologies,0,QA_AUTOMATION_ENGINEER_JS
Global Shares Ireland Limited,0,QA_AUTOMATION_ENGINEER_JAVA
River Tech,0,JAVA
Тинькофф Банк,0,JAVA
Тинькофф Банк,0,JAVA
Тинькофф Банк,0,JAVA
NEXR Technologies SE,0,NODE_JS
Global Shares Ireland Limited,0,QA_AUTOMATION_ENGINEER_JAVA
Ингосстрах-Инвестиции,0,QA_AUTOMATION_ENGINEER_PYTHON
JTI (Japan Tobacco International),0,DEVOPS
ANIXE,0,GO
Chrsolutions,0,NET
BlueBridge Technologies,0,QA_AUTOMATION_ENGINEER_PYTHON
JTI (Japan Tobacco International),1,PHP
Альфа-банк,0,JAVA
Global Shares Ireland Limited,0,QA_ENGINEER
Laya Technologies,1,DEVOPS
Global Shares Ireland Limited,0,ANGULAR
Global Shares Ireland Limited,0,QA_AUTOMATION_ENGINEER_JAVA
Банки.ру,0,SYSTEM_ANALYST
"Retrain.ai, inc",1,NODE_JS
Тинькофф Банк,0,JAVA
Тинькофф Банк,0,JAVA
Madkhol,0,NODE_JS
Transporeon,1,JAVA
Тинькофф Банк,0,IOS
Exness,0,NODE_JS
Альфа-банк,0,IOS
ABB Switzerland Ltd,0,NET
eurofunk,0,JAVA
"Retrain.ai, inc",0,REACT
Yara International,1,REACT_NATIVE
Reuter Gruppe,1,REACT
Ecovium GmbH,0,NODE_JS
BSS Group,0,QA_ENGINEER
Reuter Gruppe,1,BUSINESS_ANALYST
Ингосстрах-Инвестиции,0,QA_AUTOMATION_ENGINEER_PYTHON
Exness,1,PYTHON
Альфа-банк,0,JAVA
Data Lens Labs Ltd,0,REACT
Allianz Partners,1,JAVA
Allianz Partners,1,JAVA
Backbase,0,QA_AUTOMATION_ENGINEER_JAVA
Альфа-банк,0,QA_AUTOMATION_ENGINEER_JAVA
Банки.ру,0,PHP
Ингосстрах-Инвестиции,0,ANDROID
Global Shares Ireland Limited,0,QA_AUTOMATION_ENGINEER_JAVA
Банки.ру,0,PHP
Альфа-банк,0,JAVA
Moovforge,0,REACT
Qatar National Bank,1,JAVA
ANIXE,0,GO
tabby SA,1,REACT_NATIVE
Ингосстрах-Инвестиции,0,IOS
МТС Диджитал,0,NET
Ингосстрах-Инвестиции,0,SYSTEM_ANALYST
Comparis,1,REACT
Backbase,1,JAVA
Ингосстрах-Инвестиции,0,SYSTEM_ANALYST
eurofunk,1,DEVOPS
"Retrain.ai, inc",1,REACT
ANIXE,0,BUSINESS_ANALYST
Moovforge,1,REACT
МТС Диджитал,0,NET
МТС Диджитал,0,NET
МТС Диджитал,0,NET
ABB Switzerland Ltd,0,NET
ABB Switzerland Ltd,0,NET
Манго телеком,0,NODE_JS
MemberNova,1,NET
Booking Group Corporation,1,DEVOPS
cxomni CXM cloud,1,REACT
Тинькофф Банк,0,IOS
Paysera,1,DELIVERY_MANAGER
Самолёт Венчурс - Плафторма Самолёт+,0,NET
Moonfare,0,REACT
Reuter Gruppe,1,REACT
Global Shares Ireland Limited,1,ANGULAR
Geta Digital,0,ANGULAR
BSS Group,0,REACT
Exness,1,NODE_JS
Comparis,1,REACT
JTI (Japan Tobacco International),0,DEVOPS
Wayflyer Limited,0,PYTHON
IHS,0,ANGULAR
Exness,0,GRAPHIC_DESIGNER
Exness,0,GRAPHIC_DESIGNER
Сбер РБ - Домклик,0,SYSTEM_ANALYST
Ингосстрах-Инвестиции,0,SYSTEM_ANALYST
МТС Диджитал,0,SYSTEM_ANALYST
МТС Диджитал,0,NET
ITFB Group,0,IOS
JTI (Japan Tobacco International),0,NET
ABB Switzerland Ltd,1,REACT
ABB Switzerland Ltd,0,REACT
JTI (Japan Tobacco International),0,DEVOPS
Банки.ру,0,JAVA
Quincus,0,RUBY
Тинькофф Банк,0,JAVA
Global Shares Ireland Limited,0,NET
Allianz Technology,0,DATA_ENGINEER_DBA
JTI (Japan Tobacco International),1,QA_AUTOMATION_ENGINEER_JS
Backbase,0,QA_AUTOMATION_ENGINEER_JAVA
Chrsolutions,1,NET
МТС Диджитал,0,NET
Publicis Media DE,1,NET
Сбер РБ - Домклик,0,SYSTEM_ANALYST
Allianz Partners,1,JAVA
Backbase,0,IOS
Банки.ру,0,PHP
Madkhol,0,NODE_JS
Самолёт Венчурс - Плафторма Самолёт+,0,NET
Yara International,0,NET
Сбер Риски Департамент интегрированного риск-менеджмента,0,JAVA
Сбер Риски Департамент интегрированного риск-менеджмента,0,JAVA
Bitmovin GmbH,0,ANDROID
ABB Switzerland Ltd,1,NET
Global Shares Ireland Limited,0,QA_ENGINEER
Madkhol,0,NODE_JS
SupplyStack,1,NODE_JS
SupplyStack,0,NODE_JS
Moovforge,0,PROJECT_MANAGEMENT
Team Force,0,QA_AUTOMATION
Тинькофф Банк,0,SYSTEM_ANALYST
Publicis Media DE,1,NET
SchenckONE Machine,1,SOFTWARE_ARCHITECT
NEXR Technologies SE,1,NODE_JS
Ростелеком #2,0,REACT
Сбер РБ - Домклик,0,SYSTEM_ANALYST
Thryve (mHealth Pioneers GmbH),1,SOFTWARE_ARCHITECT
Ингосстрах-Инвестиции,0,BUSINESS_ANALYST
Backbase,0,JAVA
Тинькофф Банк,0,JAVA
Data Lens Labs Ltd,1,REACT
River Tech,1,JAVA
JTI (Japan Tobacco International),0,NET
Publicis Media DE,1,NET
Compleet,1,PHP
SupplyStack,1,EXT_JS
Самолёт Венчурс - Плафторма Самолёт+,0,UX_UI
Bundle,1,UX_UI
Publicis Media DE,1,DATA_ENGINEER_DBA
IHS Kernel,0,DEVOPS
Ингосстрах-Инвестиции,0,C_SHARP
Brandoo,0,REACT_NATIVE
Самолёт Венчурс - Плафторма Самолёт+,0,UX_UI
IHS,1,ANGULAR
SupplyStack,1,SCRUM_MASTER
msg Plaut Austria GmbH,0,JAVA
ПАО Банк «ФК Открытие»,0,JAVA
Тинькофф Банк,0,ANDROID
Global Shares Ireland Limited,1,QA_AUTOMATION_ENGINEER_JAVA
Самолёт Венчурс - Плафторма Самолёт+,0,NET
Самолёт Венчурс - Плафторма Самолёт+,0,NET
Global Shares Ireland Limited,0,ANGULAR
Ингосстрах-Инвестиции,0,BUSINESS_ANALYST
msg Plaut Austria GmbH,0,BUSINESS_ANALYST
Trip-arc,1,QA_ANALYST
Fressnapf Tiernahrungs,1,QA_AUTOMATION_ENGINEER_JAVA
IHS Kernel,0,DATA_SCIENCE_ML
Allianz Technology,0,DATA_ENGINEER_DBA
inDriver,1,IOS
Allianz Technology,0,DATA_ENGINEER_ETL
Transporeon,1,JAVA
Bitmovin GmbH,0,ANDROID
IHS Kernel,0,DATA_SCIENCE_ML
ABB Switzerland Ltd,0,NET
Банки.ру,0,NODE_JS
"Retrain.ai, inc",1,REACT
Тинькофф Банк,0,IOS
Ланит - ВТБ,0,SYSTEM_ANALYST
МТС Диджитал,0,NET
Ингосстрах-Инвестиции,0,ANDROID
Самолёт Венчурс - Плафторма Самолёт+,0,NET
Global Shares Ireland Limited,0,ANGULAR
Getsafe,0,RUBY
ABB Switzerland Ltd,0,QA_AUTOMATION_C_SHARP
ABB Switzerland Ltd,0,QA_AUTOMATION_C_SHARP
ABB Switzerland Ltd,0,QA_AUTOMATION_C_SHARP
Ланит - ВТБ,0,SYSTEM_ANALYST
ABB Switzerland Ltd,0,QA_AUTOMATION_C_SHARP
Backbase,0,JAVA
ABB Switzerland Ltd,1,QA_AUTOMATION_C_SHARP
Bundle,0,NODE_JS
Bundle,0,REACT
SupplyStack,0,NODE_JS
Global Shares Ireland Limited,1,QA_ENGINEER
Сбер РБ - Домклик,0,SYSTEM_ANALYST
Global Shares Ireland Limited,1,QA_AUTOMATION_ENGINEER_JAVA
Банки.ру,0,SYSTEM_ANALYST
Альфа-банк,0,ANDROID
Ecovium GmbH,0,BUSINESS_ANALYST
GMCS,0,SQL
Самолёт Венчурс - Плафторма Самолёт+,0,SYSTEM_ANALYST
МАГНИТ,0,VUE_JS
StormPay,0,ANDROID
StormPay,0,IOS
Самолёт Венчурс - Плафторма Самолёт+,0,NET
Global Shares Ireland Limited,0,SCRUM_MASTER
Манго телеком,0,NODE_JS
Yara International,0,NODE_JS
Global Shares Ireland Limited,0,NET
Reuter Gruppe,1,REACT
Reuter Gruppe,1,REACT
Global Shares Ireland Limited,0,QA_AUTOMATION_ENGINEER_JAVA
IHS,0,NET
Allianz Technology,0,DATA_ENGINEER_DBA
ПАО Банк «ФК Открытие»,0,QA_ENGINEER
Softeq Minsk,0,QA_AUTOMATION_ENGINEER_JS
МТС Диджитал,0,NET
Allianz Partners,1,SYSTEM_ANALYST
Brandoo,0,REACT_NATIVE
МТС Диджитал,0,ANDROID
ПАО Банк «ФК Открытие»,0,JAVA
Nexxiot AG,0,QA_ENGINEER
Банки.ру,0,QA_AUTOMATION_ENGINEER_JAVA
Ланит - ВТБ,0,REACT
Ланит - ВТБ,0,REACT
Atroo,1,QA_AUTOMATION_ENGINEER_JS
