,project_name,technology,status
6,Space (Neobank),NET,0
9,Publicis Media DE,NET,0
16,Phenom People,UX_UI,0
24,Exness,PYTHON,0
27,PropertyGuru Group,PYTHON,0
32,Team Force,JAVA,0
37,PropertyGuru Group,QA_AUTOMATION_ENGINEER_JAVA,0
38,Paysera,QA_MOBILE,0
39,Global Shares Ireland Limited,QA_ENGINEER,0
40,Global Shares Ireland Limited,QA_ENGINEER,0
42,Global Shares Ireland Limited,QA_ENGINEER,0
57,Уральский банк реконструкции и развития,QA_ENGINEER,0
58,Уральский банк реконструкции и развития,QA_ENGINEER,0
60,Альфа-банк,QA_AUTOMATION_C_SHARP,0
63,Альфа-банк,QA_AUTOMATION_ENGINEER_JAVA,0
70,Альфа-банк,QA_AUTOMATION_ENGINEER_JAVA,0
71,Альфа-банк,QA_AUTOMATION_ENGINEER_JAVA,0
77,Альфа-банк,QA_AUTOMATION_ENGINEER_JAVA,0
79,Альфа-банк,QA_AUTOMATION_ENGINEER_JAVA,0
98,Allianz Technology - Canada,BUSINESS_ANALYST,0
105,Ингосстрах-Инвестиции,SYSTEM_ANALYST,0
118,Альфа-банк,SYSTEM_ANALYST,0
135,GMCS,SYSTEM_ANALYST,0
136,GMCS,SYSTEM_ANALYST,0
142,Backbase,ANDROID,0
143,Backbase,ANDROID,0
145,Space (Neobank),ANDROID,0
153,Softeq Minsk,ANDROID,0
157,Ростелеком #2,ANDROID,0
159,Ингосстрах-Инвестиции,ANDROID,0
161,Альфа-банк,ANDROID,0
163,Альфа-банк,ANDROID,0
173,Альфа-банк,ANDROID,0
174,Тинькофф Банк,ANDROID,0
175,Тинькофф Банк,ANDROID,0
179,Backbase,IOS,0
185,Space (Neobank),IOS,0
187,Ростелеком #2,IOS,0
190,Альфа-банк,IOS,0
192,Альфа-банк,IOS,0
195,Тинькофф Банк,IOS,0
196,Тинькофф Банк,IOS,0
197,Тинькофф Банк,IOS,0
198,M10 (PayPoint),FLUTTER,0
202,Backbase,JAVA,0
205,Backbase,JAVA,0
214,Сбер Риски Департамент интегрированного риск-менеджмента,JAVA,0
215,Ланит - Сбер,JAVA,0
216,Ланит - ВТБ,JAVA,0
219,МАГНИТ,JAVA,0
224,Альфа-банк,JAVA,0
232,Альфа-банк,JAVA,0
235,Банки.ру,JAVA,0
239,Тинькофф Банк,JAVA,0
251,Тинькофф Банк,JAVA,0
254,Тинькофф Банк,JAVA,0
255,Ланит - ВТБ,JAVA,0
